Altium Designer Pick and Place Locations
C:\Users\User\Documents\GitHub\Grune_Welt_MCU_VESC_V4_12\Project Outputs for SEMA_V7 Motor Controller4.12\Pick Place\Pick Place for PCB.txt

========================================================================================================================
File Design Information:

Date:       06/12/25
Time:       22:10
Revision:   2af5e1cdc3e0ba2eccfc79bb48656f92cabd13d1
Variant:    No variations
Units used: mil

Designator Comment                 Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                                      
D4         B280-13-F               TopLayer    DIOM5336X250N              4406.614      3615.000      180      "Schottky Diode"                                                                                                 
R42        WSLP27265L000FEA        BottomLayer WSLP27265L000FEA           5765.000      4158.642      0        Resistor                                                                                                         
R43        WSLP27265L000FEA        BottomLayer WSLP27265L000FEA           5712.029      2223.146      0        Resistor                                                                                                         
Q6         IPB010N06N              TopLayer    PG-TO263-7-3_3             6225.000      3100.118      180      "MOSFET (N-Channel)"                                                                                             
Q5         IPB010N06N              TopLayer    PG-TO263-7-3_3             6225.000      4015.118      180      "MOSFET (N-Channel)"                                                                                             
Q4         IPB010N06N              TopLayer    PG-TO263-7-3_3             6220.000      2070.118      180      "MOSFET (N-Channel)"                                                                                             
Q3         IPB010N06N              TopLayer    PG-TO263-7-3_3             5625.118      3755.000      90       "MOSFET (N-Channel)"                                                                                             
Q2         IPB010N06N              TopLayer    PG-TO263-7-3_3             5609.882      1811.598      90       "MOSFET (N-Channel)"                                                                                             
C47        EEEFK1J101P             BottomLayer FP-FKG-MFG                 5291.260      3720.000      0        "CAP ALUM 100UF 20% 63V SMD"                                                                                     
C48        EEEFK1J101P             BottomLayer FP-FKG-MFG                 5330.000      2965.000      0        "CAP ALUM 100UF 20% 63V SMD"                                                                                     
C49        EEEFK1J101P             BottomLayer FP-FKG-MFG                 5250.000      1815.000      0        "CAP ALUM 100UF 20% 63V SMD"                                                                                     
TP1        "Test point"            TopLayer    TEST_POINT                 4625.000      2505.000      90       ""                                                                                                               
TP2        "Test point"            TopLayer    TEST_POINT                 3990.000      3352.486      90       ""                                                                                                               
Y1         ABM3B-8.000MHZ-10-1-U-T TopLayer    FP-ABM3B-MFG               3695.000      1980.000      90       "Crystal 8MHz ±10ppm 10pF SMD-4 5mm x 3.2mm"                                                                     
U5         SN65HVD232D             TopLayer    D0008A_L                   2960.000      1895.000      270      "3.3 V CAN Transceiver, 17 mA, -40 to 85 degC, 8-pin SOIC (D), Green (RoHS & no Sb/Br)"                          
U4         NTCS0805E3103GMT        TopLayer    NTCS0805_VIS               4795.000      1830.000      180      "NTCS0805E3103GMT Thermistor NTC 10K Ohm 2% 2-Pin 0805 Surface Mount Solder Pad 3570K -4 to -3.5 T/R Automotive" 
U3         TC2117-3.3VDBTR         TopLayer    SOT-223-DB3_N              3595.000      3490.000      90       "800 mA Fixed Low Dropout Positive Regulator, 3-Pin SOT-223, Extended Temperature, Tape and Reel"                
U2         DRV8302DCAR             TopLayer    FP-DCA0056A-IPC_C          4465.000      2905.000      0        "IC MOTOR DRIVER 8V-60V 56HTSSOP"                                                                                
